Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Flow State,SOS,Secrets of Strixhaven,49,normal,uncommon,1,112343,47d6093b-b1b6-4956-8bfd-02cce899f832,3.02,false,false,near_mint,en,USD
Sleight of Hand,SOA,Secrets of Strixhaven Mystical Archive,22,normal,uncommon,1,112686,c837c418-2fe9-4ce8-b76d-c37241579a93,0.46,false,false,near_mint,en,USD
Antiquities on the Loose,SOS,Secrets of Strixhaven,7,normal,rare,1,112291,68ee92cd-51af-4de5-bcc8-34d0bb2fd398,0.79,false,false,near_mint,en,USD
Tablet of Discovery,SOS,Secrets of Strixhaven,132,normal,uncommon,1,112565,13059664-a940-4a66-8100-0c90b884bab4,0.36,false,false,near_mint,en,USD
Spell Pierce,SOA,Secrets of Strixhaven Mystical Archive,23,normal,uncommon,1,112504,bc8f80e2-dd9d-4abc-b44c-fbef4d403e6f,0.35,false,false,near_mint,en,USD
Culling the Weak,SOA,Secrets of Strixhaven Mystical Archive,27,normal,rare,1,112455,6c84aa77-bcb0-4a59-b94c-8cb9cbf6af76,6.3,false,false,near_mint,en,USD
Slumbering Trudge,SOS,Secrets of Strixhaven,160,normal,rare,1,112335,3a925370-58ac-4181-9acc-db7b0e0abf17,1.03,false,false,near_mint,en,USD
Stock Up,SOA,Secrets of Strixhaven Mystical Archive,24,normal,uncommon,1,110977,ad048b7c-588f-4c34-906f-4224f1aaaeb6,1.52,false,false,near_mint,en,USD
Harsh Annotation,SOS,Secrets of Strixhaven,18,normal,uncommon,1,112706,e07a8fc7-c11c-4469-a31d-0abf40e57bbf,0.58,false,false,near_mint,en,USD
Pensive Professor,SOS,Secrets of Strixhaven,63,normal,rare,1,111707,66d47940-84f9-4479-8562-45e5148435d4,2.35,false,false,near_mint,en,USD
Reprieve,SOA,Secrets of Strixhaven Mystical Archive,9,normal,rare,1,111793,426038f3-f21e-43a5-bea8-0cfd8658c009,4.34,false,false,near_mint,en,USD
Seize the Spoils,SOS,Secrets of Strixhaven,129,normal,common,1,111928,4ddf4e34-a1f9-4636-942d-0a08e9f94320,0.37,false,false,near_mint,en,USD
Planar Engineering,SOS,Secrets of Strixhaven,158,normal,rare,1,112391,c83b96a3-ddfd-4d11-8a85-5bf62087cbb9,5.61,false,false,near_mint,en,USD
Harsh Annotation,SOS,Secrets of Strixhaven,18,foil,uncommon,1,112706,e07a8fc7-c11c-4469-a31d-0abf40e57bbf,0.34,false,false,near_mint,en,USD
Prismari Charm,SOS,Secrets of Strixhaven,211,normal,uncommon,1,111723,8f6c2a5e-fe13-407c-aadd-c9caf2884ff1,0.42,false,false,near_mint,en,USD
"Moseo, Vein's New Dean",SOS,Secrets of Strixhaven,91,normal,rare,1,112625,6877180c-22a1-4c4d-9178-316f4c34661b,2.22,false,false,near_mint,en,USD
Erode,SOS,Secrets of Strixhaven,15,normal,rare,1,112288,32e670da-7563-4f6a-a7db-4c126a440eb8,5.78,false,false,near_mint,en,USD
Sundown Pass,SOS,Secrets of Strixhaven,264,normal,rare,1,111735,b34000e9-ff20-4fb4-9d0b-03a172a92457,2.2,false,false,near_mint,en,USD
Mana Sculpt,SOS,Secrets of Strixhaven,57,normal,rare,1,112284,200c8e3d-c53b-40c7-a29a-fccc1281bfc6,3.66,false,false,near_mint,en,USD
Professor Dellian Fel,SOS,Secrets of Strixhaven,283,foil,mythic,1,111739,bf2212c5-b9ec-4bc5-bcca-e7c7debeca0c,20.23,false,false,near_mint,en,USD
Glimpse of Nature,SOA,Secrets of Strixhaven Mystical Archive,53,foil,rare,1,112466,7cb6fd05-0bd9-4f2f-b159-280aba98d3a5,6.93,false,false,near_mint,en,USD
Brush Off,SOS,Secrets of Strixhaven,39,normal,uncommon,1,112323,151eab82-d20f-433b-b3bb-1d44e2871d5c,0.63,false,false,near_mint,en,USD
Shared Roots,SOA,Secrets of Strixhaven Mystical Archive,58,normal,uncommon,1,112432,3aeb1fe1-3ff3-466c-9eda-b8747702734c,0.43,false,false,near_mint,en,USD
Dina's Guidance,SOS,Secrets of Strixhaven,184,normal,rare,2,112631,775c1e50-08a4-413f-ab0f-f1c2a79cfe94,1.98,false,false,near_mint,en,USD
Traumatic Critique,SOS,Secrets of Strixhaven,239,foil,rare,1,112221,2a812fa7-4599-4e25-97db-20ffc6bc0b26,3.45,false,false,near_mint,en,USD
Abrade,SOA,Secrets of Strixhaven Mystical Archive,37,normal,uncommon,1,112513,c5bb5307-e874-42c4-b85d-06b9f6c474c8,0.47,false,false,near_mint,en,USD
Requisition Raid,SOA,Secrets of Strixhaven Mystical Archive,10,normal,uncommon,1,112457,6d9efae9-365d-46c8-be92-d4a3038f0414,0.36,false,false,near_mint,en,USD
Magmablood Archaic,SOS,Secrets of Strixhaven,123,normal,rare,1,112344,4d611278-9948-4345-b4dd-aa6eaf21b233,4.65,false,false,near_mint,en,USD
Comforting Counsel,SOS,Secrets of Strixhaven,143,normal,rare,1,112612,5223a04f-6b47-4379-80ce-8489c4a91734,0.8,false,false,near_mint,en,USD
Deduce,SOA,Secrets of Strixhaven Mystical Archive,16,normal,uncommon,1,111808,a6813cd2-7151-459a-a2f1-52808584de53,0.28,false,false,near_mint,en,USD
Wisdom of Ages,SOS,Secrets of Strixhaven,71,foil,rare,1,111734,b227ef04-33e4-44e8-a357-0ea3dfe5d49b,4.0,false,false,near_mint,en,USD
Informed Inkwright,SOS,Secrets of Strixhaven,20,normal,rare,1,112447,5defb2d1-d0fb-4e7f-a5c7-3df99fe675d6,0.65,false,false,near_mint,en,USD
Tragedy Feaster,SOS,Secrets of Strixhaven,102,normal,rare,1,112502,b93cbaad-8ed8-4a1d-b95a-20a616dfedc9,3.04,false,false,near_mint,en,USD
Return the Favor,SOA,Secrets of Strixhaven Mystical Archive,47,normal,uncommon,1,112535,e968efff-635b-4780-9bbe-099e75a1841b,0.81,false,false,near_mint,en,USD
Echocasting Symposium,SOS,Secrets of Strixhaven,44,normal,mythic,1,112349,5d7086a7-dc42-468a-a2cf-a6f89030f947,3.68,false,false,near_mint,en,USD
Dreamroot Cascade,SOS,Secrets of Strixhaven,254,normal,rare,1,111765,ef662b92-5a7f-48c9-bcc1-14b55e091aef,2.33,false,false,near_mint,en,USD
Applied Geometry,SOS,Secrets of Strixhaven,172,normal,rare,1,112315,f109f2eb-895b-44a6-b6b5-81bf3831ccd5,0.74,false,false,near_mint,en,USD
